//DATASET,
//created,Wed, 25 Apr 2018 21:19:06 GMT

//TRACE,Waveform,Input 1 
//SampledBand
#Time,"Electrical Signal"
#(ns),(a.u.)
2.1375,0.0329883309121823
2.14,0.024874736623605
2.1425,0.0180876114385411
2.145,0.0126976994406332
2.1475,0.00867244450381444
2.15,0.00591344669578497
2.1525,0.00427589319225351
2.155,0.00358157547519755
2.1575,0.00363702854079937
2.16,0.00426936512876483
2.1625,0.00533565157581066
2.165,0.00668682504198082
2.1675,0.0082173364078322
2.17,0.00991583272172165
2.1725,0.0117888196008025
2.175,0.0138276532405754
2.1775,0.0160397142469153
2.18,0.018424574263
2.1825,0.0208867732759388
2.185,0.023202690554287
2.1875,0.0250811185945955
2.19,0.0262401067348015
2.1925,0.0265190154150426
2.195,0.0259551762380284
2.1975,0.0247738090611412
2.2,0.0233727883373885
2.2025,0.0222674322427236
2.205,0.0219925869286095
2.2075,0.0230237935075248
2.21,0.0257248778197764
2.2125,0.0302856242434823
2.215,0.0365426022254913
2.2175,0.0438534992298935
2.22,0.0513503104247672
2.2225,0.0582858847538099
2.225,0.0641553943716954
2.2275,0.0686550724234738
2.23,0.0717117728745975
2.2325,0.0734403643088588
2.235,0.0738894851258794
2.2375,0.0728873703050298
2.24,0.0701740251055584
2.2425,0.0656643977239637
2.245,0.0595510661192139
2.2475,0.0522366248860713
2.25,0.044256749211383
2.2525,0.0361956097300753
2.255,0.0285685080768294
2.2575,0.0217540483169432
2.26,0.015992585421194
2.2625,0.0113931063639427
2.265,0.00795411449539398
2.2675,0.00559635256764054
2.27,0.00419294789964183
2.2725,0.0035918326441912
2.275,0.00363683503942879
2.2775,0.00418275662886968
2.28,0.00510158581159031
2.2825,0.00631665010252144
2.285,0.00777059813564759
2.2875,0.00940738798486194
2.29,0.0111821282788997
2.2925,0.0130745783550799
2.295,0.0151240619488947
2.2975,0.017359063011385
2.3,0.0197478956296299
2.3025,0.0221742674120511
2.305,0.0244271136453564
2.3075,0.0262297158419593
2.31,0.0273283537821541
2.3125,0.0275746024859724
2.315,0.0269794190141604
2.3175,0.0257634708426505
2.32,0.0243368765113154
2.3225,0.0232209911640046
2.325,0.0229345449056505
2.3275,0.0239583246739139
2.33,0.0266898195397023
2.3325,0.0313061116505323
2.335,0.0375582502139722
2.3375,0.0447779854973306
2.34,0.0522186153612672
2.3425,0.0592714780333046
2.345,0.0653600102177794
2.3475,0.0700254373551529
2.35,0.0730516316028924
2.3525,0.0744384511801713
2.355,0.0742289181743355
2.3575,0.0723529710275822
2.36,0.0687160108585323
2.3625,0.0633924175343431
2.365,0.0566790161025743
2.3675,0.0490104566367971
2.37,0.040912108800152
2.3725,0.0329246037175792
2.375,0.0255256519720279
2.3775,0.0190770045955245
2.38,0.0137992233844346
2.3825,0.00975093639175266
2.385,0.00684786924745535
2.3875,0.004906895530303
2.39,0.00371927390318781
2.3925,0.00310048310738536
2.395,0.002929705476875
2.3975,0.00316157523773867
2.4,0.00383873343786041
2.4025,0.00509646482300444
2.405,0.00714374041412525
2.4075,0.0101951202281237
2.41,0.0144368210772587
2.4125,0.020006200975815
2.415,0.0268708147975113
2.4175,0.0347719313908256
2.42,0.0431442319572937
2.4225,0.0511441700201384
2.425,0.0578705554635955
2.4275,0.0627076407239803
2.43,0.0655246172143713
2.4325,0.0666759866854156
2.435,0.066745684645947
2.4375,0.0662166794225376
2.44,0.065442440902002
2.4425,0.0646615016825178
2.445,0.0639659752167605
2.4475,0.0633676440397311
2.45,0.062927258014688
2.4525,0.062678474934324
2.455,0.0625202167514522
2.4575,0.0622512048740874
2.46,0.0617893116398895
2.4625,0.061339569564674
2.465,0.0612998638019725
2.4675,0.0620599130940898
2.47,0.0636998710240635
2.4725,0.0657855064997533
2.475,0.067541767329354
2.4775,0.0681605861968806
2.48,0.0670368677861792
2.4825,0.0638895173600023
2.485,0.0588053045774106
2.4875,0.0521930781400714
2.49,0.0446372072764076
2.4925,0.036773631148764
2.495,0.0291732097028967
2.4975,0.0222974625378694
2.5,0.0164652950503605
2.5025,0.0118199385147639
2.505,0.00834709387550142
2.5075,0.00591187292456894
